ExpenseID,DateKey,CostCenterID,GeographyID,ExpenseAmount,IsForecast
1,20230101,1,1,55303.37,0
2,20230101,1,2,174532.89,0
3,20230101,1,3,171606.03,0
4,20230101,1,4,86809.88,0
5,20230101,1,5,119717.2,0
6,20230101,1,6,54072.43,0
7,20230101,1,7,75582.53,0
8,20230101,1,8,75585.46,0
9,20230101,1,9,95210.33,0
10,20230101,1,10,150973.97,0
11,20230101,1,11,139807.35,0
12,20230101,1,12,161338.7,0
13,20230101,1,13,179273.05,0
14,20230101,1,14,154387.23,0
15,20230101,1,15,202693.33,0
16,20230101,1,16,51412.31,0
17,20230101,1,17,193171.56,0
18,20230101,1,18,95142.56,0
19,20230101,2,1,180607.37,0
20,20230101,2,2,117840.18,0
21,20230101,2,3,139445.98,0
22,20230101,2,4,78751.15,0
23,20230101,2,5,88315.5,0
24,20230101,2,6,162221.62,0
25,20230101,2,7,101321.41,0
26,20230101,2,8,62678.19,0
27,20230101,2,9,126846.61,0
28,20230101,2,10,180080.14,0
29,20230101,2,11,57871.97,0
30,20230101,2,12,168128.42,0
31,20230101,2,13,82567.52,0
32,20230101,2,14,158514.55,0
33,20230101,2,15,112913.49,0
34,20230101,2,16,80540.12,0
35,20230101,2,17,161445.33,0
36,20230101,2,18,150079.7,0
37,20230101,3,1,183155.41,0
38,20230101,3,2,155961.26,0
39,20230101,3,3,91139.78,0
40,20230101,3,4,145978.26,0
41,20230101,3,5,82390.57,0
42,20230101,3,6,90001.62,0
43,20230101,3,7,165953.64,0
44,20230101,3,8,65048.96,0
45,20230101,3,9,69278.73,0
46,20230101,3,10,83566.84,0
47,20230101,3,11,120104.58,0
48,20230101,3,12,145377.91,0
49,20230101,3,13,118921.52,0
50,20230101,3,14,156641.85,0
51,20230101,3,15,145900.25,0
52,20230101,3,16,162419.59,0
53,20230101,3,17,157392.74,0
54,20230101,3,18,83758.24,0
55,20230101,4,1,166521.74,0
56,20230101,4,2,153285.26,0
57,20230101,4,3,112321.88,0
58,20230101,4,4,160062.22,0
59,20230101,4,5,77706.17,0
60,20230101,4,6,65095.54,0
61,20230101,4,7,124614.37,0
62,20230101,4,8,62776.49,0
63,20230101,4,9,116273.51,0
64,20230101,4,10,140800.37,0
65,20230101,4,11,148757.88,0
66,20230101,4,12,165150.47,0
67,20230101,4,13,46632.52,0
68,20230101,4,14,112022.08,0
69,20230101,4,15,153100.86,0
70,20230101,4,16,131564.77,0
71,20230101,4,17,124078.53,0
72,20230101,4,18,53072.81,0
73,20230101,5,1,252319.99,0
74,20230101,5,2,165552.88,0
75,20230101,5,3,252619.1,0
76,20230101,5,4,270826.89,0
77,20230101,5,5,228325.68,0
78,20230101,5,6,184727.51,0
79,20230101,5,7,156682.62,0
80,20230101,5,8,276121.07,0
81,20230101,5,9,164784.05,0
82,20230101,5,10,129886.91,0
83,20230101,5,11,242312.09,0
84,20230101,5,12,153384.77,0
85,20230101,5,13,215533.73,0
86,20230101,5,14,118157.47,0
87,20230101,5,15,138559.96,0
88,20230101,5,16,163249.89,0
89,20230101,5,17,104490.88,0
90,20230101,5,18,103751.51,0
91,20230101,6,1,123115.27,0
92,20230101,6,2,259790.9,0
93,20230101,6,3,259164.63,0
94,20230101,6,4,146414.7,0
95,20230101,6,5,131235.54,0
96,20230101,6,6,132719.39,0
97,20230101,6,7,143365.11,0
98,20230101,6,8,173842.97,0
99,20230101,6,9,286319.5,0
100,20230101,6,10,95132.11,0
101,20230101,6,11,209780.5,0
102,20230101,6,12,173060.22,0
103,20230101,6,13,124346.92,0
104,20230101,6,14,202842.25,0
105,20230101,6,15,288123.34,0
106,20230101,6,16,232393.57,0
107,20230101,6,17,209765.93,0
108,20230101,6,18,101655.73,0
109,20230101,7,1,165890.69,0
110,20230101,7,2,150411.09,0
111,20230101,7,3,101598.08,0
112,20230101,7,4,154676.65,0
113,20230101,7,5,148316.64,0
114,20230101,7,6,302700.0,0
115,20230101,7,7,238981.45,0
116,20230101,7,8,198553.55,0
117,20230101,7,9,204423.9,0
118,20230101,7,10,135427.38,0
119,20230101,7,11,174313.77,0
120,20230101,7,12,128239.06,0
121,20230101,7,13,194798.56,0
122,20230101,7,14,135161.23,0
123,20230101,7,15,202373.5,0
124,20230101,7,16,162433.09,0
125,20230101,7,17,186357.52,0
126,20230101,7,18,189258.64,0
127,20230101,8,1,261499.94,0
128,20230101,8,2,279031.66,0
129,20230101,8,3,189228.81,0
130,20230101,8,4,229282.75,0
131,20230101,8,5,184252.19,0
132,20230101,8,6,215222.93,0
133,20230101,8,7,233995.49,0
134,20230101,8,8,216118.87,0
135,20230101,8,9,321473.19,0
136,20230101,8,10,149445.68,0
137,20230101,8,11,288247.5,0
138,20230101,8,12,165886.63,0
139,20230101,8,13,116601.68,0
140,20230101,8,14,204860.24,0
141,20230101,8,15,121057.77,0
142,20230101,8,16,225561.48,0
143,20230101,8,17,138864.52,0
144,20230101,8,18,109705.52,0
145,20230101,9,1,117362.62,0
146,20230101,9,6,93517.36,0
147,20230101,9,13,117038.05,0
148,20230101,10,1,150671.63,0
149,20230101,10,6,107842.46,0
150,20230101,10,13,121128.03,0
151,20230101,11,1,111854.92,0
152,20230101,11,6,132324.13,0
153,20230101,11,13,85758.29,0
154,20230101,12,1,93380.78,0
155,20230101,12,6,92500.94,0
156,20230101,12,13,105604.9,0
157,20230101,13,1,92363.33,0
158,20230101,13,6,64050.21,0
159,20230101,13,13,79295.42,0
160,20230101,14,1,109000.86,0
161,20230101,14,6,126663.65,0
162,20230101,14,13,116902.82,0
163,20230101,15,1,82808.35,0
164,20230101,15,6,61749.9,0
165,20230101,15,13,91729.31,0
166,20230101,16,1,95212.69,0
167,20230101,16,6,119837.15,0
168,20230101,16,13,108871.18,0
169,20230201,1,1,76361.56,0
170,20230201,1,2,173608.41,0
171,20230201,1,3,188119.58,0
172,20230201,1,4,164679.83,0
173,20230201,1,5,81563.47,0
174,20230201,1,6,96366.6,0
175,20230201,1,7,187118.35,0
176,20230201,1,8,107738.39,0
177,20230201,1,9,173900.21,0
178,20230201,1,10,112408.37,0
179,20230201,1,11,184763.14,0
180,20230201,1,12,130074.74,0
181,20230201,1,13,146546.88,0
182,20230201,1,14,149705.38,0
183,20230201,1,15,80774.35,0
184,20230201,1,16,89573.46,0
185,20230201,1,17,119058.72,0
186,20230201,1,18,117493.5,0
187,20230201,2,1,100283.78,0
188,20230201,2,2,210967.99,0
189,20230201,2,3,159555.03,0
190,20230201,2,4,153706.51,0
191,20230201,2,5,61959.21,0
192,20230201,2,6,97849.31,0
193,20230201,2,7,160906.28,0
194,20230201,2,8,137373.95,0
195,20230201,2,9,156472.67,0
196,20230201,2,10,54558.29,0
197,20230201,2,11,174307.25,0
198,20230201,2,12,132682.61,0
199,20230201,2,13,173221.48,0
200,20230201,2,14,54109.54,0
201,20230201,2,15,183495.0,0
202,20230201,2,16,97763.51,0
203,20230201,2,17,54084.27,0
204,20230201,2,18,179336.26,0
205,20230201,3,1,179206.92,0
206,20230201,3,2,175509.01,0
207,20230201,3,3,130762.7,0
208,20230201,3,4,150866.0,0
209,20230201,3,5,55406.5,0
210,20230201,3,6,135454.3,0
211,20230201,3,7,158829.56,0
212,20230201,3,8,153399.84,0
213,20230201,3,9,198764.02,0
214,20230201,3,10,174276.58,0
215,20230201,3,11,82849.06,0
216,20230201,3,12,56911.58,0
217,20230201,3,13,166633.59,0
218,20230201,3,14,143868.66,0
219,20230201,3,15,168696.42,0
220,20230201,3,16,116455.48,0
221,20230201,3,17,52563.31,0
222,20230201,3,18,123982.37,0
223,20230201,4,1,165432.55,0
224,20230201,4,2,175961.12,0
225,20230201,4,3,122547.08,0
226,20230201,4,4,124379.02,0
227,20230201,4,5,126867.79,0
228,20230201,4,6,169265.46,0
229,20230201,4,7,87406.53,0
230,20230201,4,8,131060.05,0
231,20230201,4,9,181536.67,0
232,20230201,4,10,175575.17,0
233,20230201,4,11,116652.51,0
234,20230201,4,12,162945.82,0
235,20230201,4,13,157892.11,0
236,20230201,4,14,102193.37,0
237,20230201,4,15,72480.12,0
238,20230201,4,16,176750.36,0
239,20230201,4,17,64113.08,0
240,20230201,4,18,156068.82,0
241,20230201,5,1,138431.48,0
242,20230201,5,2,239939.1,0
243,20230201,5,3,307339.97,0
244,20230201,5,4,198208.87,0
245,20230201,5,5,185756.8,0
246,20230201,5,6,253623.5,0
247,20230201,5,7,126504.28,0
248,20230201,5,8,161254.72,0
249,20230201,5,9,265163.87,0
250,20230201,5,10,132156.05,0
251,20230201,5,11,272271.93,0
252,20230201,5,12,127179.93,0
253,20230201,5,13,153138.98,0
254,20230201,5,14,241994.13,0
255,20230201,5,15,150239.1,0
256,20230201,5,16,240149.41,0
257,20230201,5,17,293940.6,0
258,20230201,5,18,140344.6,0
259,20230201,6,1,144209.53,0
260,20230201,6,2,239949.83,0
261,20230201,6,3,126478.69,0
262,20230201,6,4,179942.53,0
263,20230201,6,5,120964.65,0
264,20230201,6,6,204149.5,0
265,20230201,6,7,285159.44,0
266,20230201,6,8,231256.79,0
267,20230201,6,9,273567.12,0
268,20230201,6,10,105325.02,0
269,20230201,6,11,201452.05,0
270,20230201,6,12,142681.95,0
271,20230201,6,13,246019.17,0
272,20230201,6,14,262096.32,0
